,model_name,threshold,correct_detecion,false_alarm,split,detection_failure
0,8s,0.1,136,180,3,1
1,8s,0.2,135,78,4,1
2,8s,0.3,137,63,2,1
3,8s,0.4,138,49,1,1
4,8s,0.5,136,45,2,2
5,8s,0.6,132,32,6,2
6,8s,0.7,134,26,3,2
7,8s,0.8,127,25,10,3
8,8s,0.9,128,15,8,4
9,16s,0.1,133,56,6,0
10,16s,0.2,133,30,5,1
11,16s,0.3,134,20,3,2
12,16s,0.4,133,20,1,5
13,16s,0.5,130,13,3,6
14,16s,0.6,128,6,3,9
15,16s,0.7,126,7,3,11
16,16s,0.8,125,3,4,11
17,16s,0.9,124,3,4,12
18,32s,0.1,132,256,8,0
19,32s,0.2,130,135,10,0
20,32s,0.3,130,141,10,0
21,32s,0.4,123,90,16,1
22,32s,0.5,123,90,15,1
23,32s,0.6,121,63,16,1
24,32s,0.7,111,44,26,2
25,32s,0.8,109,41,27,3
26,32s,0.9,92,29,42,5
27,sw_100px,1,109,1317,28,0
28,sw_100px,2,99,1012,35,5
29,sw_100px,3,82,711,40,9
30,sw_100px,4,62,457,49,16
31,sw_200px,1,128,561,12,0
32,sw_200px,2,118,499,20,2
33,sw_200px,3,119,393,19,2
34,sw_200px,4,109,291,16,8
35,sw_300px,1,137,378,2,0
36,sw_300px,2,130,339,9,1
37,sw_300px,3,119,319,14,1
38,sw_300px,4,115,233,12,6
39,sw_400px,1,138,288,2,0
40,sw_400px,2,134,261,4,0
41,sw_400px,3,133,221,3,1
42,sw_400px,4,111,199,16,4
43,sw_500px,1,138,207,1,0
44,sw_500px,2,135,216,1,0
45,sw_500px,3,126,183,4,2
46,sw_500px,4,112,169,4,9
47,sw_600px,1,137,178,0,0
48,sw_600px,2,134,189,1,0
49,sw_600px,3,123,201,3,2
50,sw_600px,4,112,183,4,6
51,sw_700px,1,137,134,0,0
52,sw_700px,2,131,166,1,1
53,sw_700px,3,112,165,2,6
54,sw_700px,4,94,159,3,19
55,sw_800px,1,135,103,0,0
56,sw_800px,2,127,129,0,1
57,sw_800px,3,110,167,1,8
58,sw_800px,4,94,170,3,14
59,sw_900px,1,135,75,0,0
60,sw_900px,2,126,112,1,1
61,sw_900px,3,109,149,0,9
62,sw_900px,4,89,164,3,21
63,sw_1000px,1,132,65,0,0
64,sw_1000px,2,119,91,0,2
65,sw_1000px,3,99,120,1,13
66,sw_1000px,4,77,147,5,26
