,model_name,threshold_pw,iou_threshold,precision,recall,F1,pk,splits
0,8s,0.1,0.5,39.6,92.1,55.4,8s0.10.5,17
1,8s,0.2,0.5,59.4,95.0,73.1,8s0.20.5,13
2,8s,0.3,0.5,63.0,95.0,75.8,8s0.30.5,15
3,8s,0.4,0.5,69.3,93.6,79.6,8s0.40.5,9
4,8s,0.5,0.5,70.4,93.6,80.4,8s0.50.5,10
5,8s,0.6,0.5,73.4,92.9,82.0,8s0.60.5,15
6,8s,0.7,0.5,74.4,91.4,82.1,8s0.70.5,18
7,8s,0.8,0.5,71.4,89.3,79.4,8s0.80.5,25
8,8s,0.9,0.5,70.1,82.1,75.7,8s0.90.5,34
9,16s,0.1,0.5,61.8,91.4,73.8,16s0.10.5,23
10,16s,0.2,0.5,72.3,91.4,80.8,16s0.20.5,19
11,16s,0.3,0.5,78.3,90.0,83.7,16s0.30.5,15
12,16s,0.4,0.5,80.6,89.3,84.7,16s0.40.5,10
13,16s,0.5,0.5,83.9,89.3,86.5,16s0.50.5,11
14,16s,0.6,0.5,88.6,88.6,88.6,16s0.60.5,10
15,16s,0.7,0.5,86.4,86.4,86.4,16s0.70.5,12
16,16s,0.8,0.5,88.2,85.7,87.0,16s0.80.5,13
17,16s,0.9,0.5,80.0,80.0,80.0,16s0.90.5,25
18,32s,0.1,0.5,30.1,88.6,44.9,32s0.10.5,32
19,32s,0.2,0.5,41.0,90.7,56.4,32s0.20.5,48
20,32s,0.3,0.5,44.1,93.6,60.0,32s0.30.5,25
21,32s,0.4,0.5,48.9,93.6,64.2,32s0.40.5,47
22,32s,0.5,0.5,50.8,91.4,65.3,32s0.50.5,34
23,32s,0.6,0.5,57.0,90.7,70.0,32s0.60.5,33
24,32s,0.7,0.5,58.3,90.7,70.9,32s0.70.5,47
25,32s,0.8,0.5,54.6,88.6,67.6,32s0.80.5,62
26,32s,0.9,0.5,46.9,81.4,59.5,32s0.90.5,100
27,sw_200px,1.0,0.5,0.3,1.4,0.5,sw_200px1.00.5,160
28,sw_200px,2.0,0.5,0.2,0.7,0.2,sw_200px2.00.5,168
29,sw_200px,3.0,0.5,0.7,2.9,1.1,sw_200px3.00.5,165
30,sw_200px,4.0,0.5,2.1,6.4,3.2,sw_200px4.00.5,142
31,sw_900px,1.0,0.5,0.0,0.0,,sw_900px1.00.5,135
32,sw_900px,2.0,0.5,0.0,0.0,,sw_900px2.00.5,128
33,sw_900px,3.0,0.5,1.2,2.1,1.6,sw_900px3.00.5,107
34,sw_900px,4.0,0.5,2.2,3.6,2.7,sw_900px4.00.5,88
35,sw_100px,1.0,0.5,0.1,1.4,0.2,sw_100px1.00.5,223
36,sw_100px,2.0,0.5,0.3,2.9,0.6,sw_100px2.00.5,204
37,sw_100px,3.0,0.5,0.8,5.0,1.4,sw_100px3.00.5,191
38,sw_100px,4.0,0.5,0.3,1.4,0.5,sw_100px4.00.5,196
39,sw_1000px,1.0,0.5,0.0,0.0,,sw_1000px1.00.5,132
40,sw_1000px,2.0,0.5,0.0,0.0,,sw_1000px2.00.5,119
41,sw_1000px,3.0,0.5,0.0,0.0,,sw_1000px3.00.5,100
42,sw_1000px,4.0,0.5,1.4,2.1,1.7,sw_1000px4.00.5,82
43,sw_800px,1.0,0.5,0.0,0.0,,sw_800px1.00.5,135
44,sw_800px,2.0,0.5,0.0,0.0,,sw_800px2.00.5,127
45,sw_800px,3.0,0.5,1.1,2.2,1.5,sw_800px3.00.5,109
46,sw_800px,4.0,0.5,2.0,3.6,2.6,sw_800px4.00.5,93
47,sw_400px,1.0,0.5,0.9,2.9,1.4,sw_400px1.00.5,138
48,sw_400px,2.0,0.5,1.5,4.3,2.2,sw_400px2.00.5,137
49,sw_400px,3.0,0.5,0.8,2.1,1.2,sw_400px3.00.5,137
50,sw_400px,4.0,0.5,0.9,2.1,1.3,sw_400px4.00.5,137
51,sw_700px,1.0,0.5,0.0,0.0,,sw_700px1.00.5,137
52,sw_700px,2.0,0.5,0.0,0.0,,sw_700px2.00.5,133
53,sw_700px,3.0,0.5,2.5,5.0,3.4,sw_700px3.00.5,109
54,sw_700px,4.0,0.5,1.2,2.1,1.6,sw_700px4.00.5,96
55,sw_600px,1.0,0.5,0.0,0.0,,sw_600px1.00.5,137
56,sw_600px,2.0,0.5,0.3,0.7,0.4,sw_600px2.00.5,135
57,sw_600px,3.0,0.5,1.3,2.9,1.8,sw_600px3.00.5,126
58,sw_600px,4.0,0.5,1.8,3.6,2.4,sw_600px4.00.5,114
59,sw_300px,1.0,0.5,0.8,2.9,1.2,sw_300px1.00.5,137
60,sw_300px,2.0,0.5,1.2,4.3,1.9,sw_300px2.00.5,144
61,sw_300px,3.0,0.5,0.5,1.4,0.7,sw_300px3.00.5,149
62,sw_300px,4.0,0.5,1.9,5.0,2.8,sw_300px4.00.5,134
63,sw_500px,1.0,0.5,0.0,0.0,,sw_500px1.00.5,140
64,sw_500px,2.0,0.5,1.4,3.6,2.0,sw_500px2.00.5,132
65,sw_500px,3.0,0.5,2.2,5.0,3.1,sw_500px3.00.5,128
66,sw_500px,4.0,0.5,0.4,0.7,0.5,sw_500px4.00.5,119
